datetime_beginning_ept,load_area,mw,year,black_friday
2016-11-01 08:00:00,DUQ,1509.809,2016,2016-11-25
2016-11-01 08:00:00,RTO,86763.363,2016,2016-11-25
2016-11-01 08:00:00,DOM,10135.232,2016,2016-11-25
2016-11-01 08:00:00,EKPC,1178.9,2016,2016-11-25
2016-11-01 09:00:00,AE,973.672,2016,2016-11-25
2016-11-01 09:00:00,BC,3243.103,2016,2016-11-25
2016-11-01 09:00:00,DPLCO,1927.016,2016,2016-11-25
2016-11-01 09:00:00,EASTON,30.557,2016,2016-11-25
2016-11-01 09:00:00,JC,2390.746,2016,2016-11-25
2016-11-01 09:00:00,ME,1856.184,2016,2016-11-25
2016-11-01 09:00:00,PE,4349.002,2016,2016-11-25
2016-11-01 09:00:00,PEPCO,2960.821,2016,2016-11-25
2016-11-01 09:00:00,SMECO,350.272,2016,2016-11-25
2016-11-01 09:00:00,PLCO,5040.148,2016,2016-11-25
2016-11-01 09:00:00,UGI,131.736,2016,2016-11-25
2016-11-01 09:00:00,PN,2110.739,2016,2016-11-25
2016-11-01 09:00:00,PS,4749.387,2016,2016-11-25
2016-11-01 09:00:00,RECO,163.436,2016,2016-11-25
2016-11-01 09:00:00,AEPAPT,4131.037,2016,2016-11-25
2016-11-01 09:00:00,AEPIMP,3231.436,2016,2016-11-25
2016-11-01 09:00:00,AEPKPT,605.865,2016,2016-11-25
2016-11-01 09:00:00,AEPOPT,6053.434,2016,2016-11-25
2016-11-01 09:00:00,AP,5378.072,2016,2016-11-25
2016-11-01 09:00:00,OE,7148.615,2016,2016-11-25
2016-11-01 09:00:00,PAPWR,562.378,2016,2016-11-25
2016-11-01 09:00:00,CE,10961.063,2016,2016-11-25
2016-11-01 09:00:00,DAY,1992.0,2016,2016-11-25
2016-11-01 09:00:00,DEOK,2895.01,2016,2016-11-25
2016-11-01 09:00:00,DUQ,1507.75,2016,2016-11-25
2016-11-01 09:00:00,RTO,85878.755,2016,2016-11-25
2016-11-01 09:00:00,DOM,9960.956,2016,2016-11-25
2016-11-01 09:00:00,EKPC,1174.32,2016,2016-11-25
2016-11-01 10:00:00,AE,925.85,2016,2016-11-25
2016-11-01 10:00:00,BC,3360.118,2016,2016-11-25
2016-11-01 10:00:00,DPLCO,1883.119,2016,2016-11-25
2016-11-01 10:00:00,EASTON,30.052,2016,2016-11-25
2016-11-01 10:00:00,JC,2289.455,2016,2016-11-25
2016-11-01 10:00:00,ME,1852.131,2016,2016-11-25
2016-11-01 10:00:00,PE,4290.772,2016,2016-11-25
2016-11-01 10:00:00,PEPCO,2916.629,2016,2016-11-25
2016-11-01 10:00:00,SMECO,339.732,2016,2016-11-25
2016-11-01 10:00:00,PLCO,4810.292,2016,2016-11-25
2016-11-01 10:00:00,UGI,130.382,2016,2016-11-25
