test_year,train_years,load_area,n_predictions,mse,rmse,mae,mape,avg_actual,avg_predicted
2024,2020-2021-2022-2023,AEPKPT,240,6671.943335755468,81.68196456841295,61.694986458333325,9.712558128599683,664.2892416666667,674.9651614583332
2024,2020-2021-2022-2023,AEPOPT,240,526532.574863253,725.6256437470033,627.7339458333333,9.093444107546047,6825.689037500001,6214.990937500001
2024,2020-2021-2022-2023,AP,240,242828.1135721219,492.7759263317577,409.2537729166667,7.575344043291225,5475.741404166666,5571.716075
2024,2020-2021-2022-2023,BC,240,123861.39410129323,351.93947505401155,296.0240791666666,9.425403378722894,3185.949820833333,3275.9756229166665
2024,2020-2021-2022-2023,CE,240,327909.8398139284,572.634123864382,435.9371322916667,4.316673043896633,10082.561483333333,9872.409323958333
2024,2020-2021-2022-2023,DAY,240,23302.476291874995,152.6514863729633,127.27276666666667,6.770922061884202,1901.95565,1885.7114583333334
2024,2020-2021-2022-2023,DEOK,240,49902.13372008541,223.38785490730112,182.2041020833333,6.621968038182245,2785.796366666667,2789.215222916667
2024,2020-2021-2022-2023,DOM,240,2894449.2391492217,1701.3080964802411,1414.6932468749999,10.14511895294611,13553.103541666665,12218.631676041667
2024,2020-2021-2022-2023,DPLCO,240,42125.54526569635,205.24508585029838,167.79889375000002,9.140974647898622,1895.0400125,1952.3648770833336
2024,2020-2021-2022-2023,DUQ,240,5741.255927628906,75.7710757982814,61.06959479166665,4.272616378751623,1432.1603291666665,1412.5147468750001
2024,2020-2021-2022-2023,EASTON,240,13.449387390364585,3.6673406428043447,2.9471156250000003,11.718583393901262,26.483258333333332,27.904634375
2024,2020-2021-2022-2023,EKPC,240,72215.76936862603,268.72991900535754,217.44207291666666,12.88549080490945,1676.9292916666666,1588.1387979166664
2024,2020-2021-2022-2023,JC,240,30384.671659932814,174.31199516938818,137.0439333333333,6.1543642217671835,2236.974304166667,2250.8638895833333
2024,2020-2021-2022-2023,ME,240,25189.3733193862,158.71160423669784,132.5952322916667,8.296684862599633,1617.3506166666666,1712.655784375
2024,2020-2021-2022-2023,OE,240,131213.22960470105,362.23366713311043,292.3878020833334,4.436989378742484,6688.925158333334,6656.469860416666
2024,2020-2021-2022-2023,OVEC,240,90.47838541666667,9.512012690102273,6.719791666666667,17.26743137503109,37.43333333333333,36.51770833333333
2024,2020-2021-2022-2023,PAPWR,240,1361.3650514953122,36.89668076528446,29.03959375,5.477083123685569,540.1388666666667,537.2026000000001
2024,2020-2021-2022-2023,PE,240,88911.88945286852,298.1809676234694,237.6045072916667,6.056175459497492,4005.5967458333334,4083.9584927083333
2024,2020-2021-2022-2023,PEPCO,240,55683.296902940376,235.97308512400386,197.73607187500002,8.119431044469172,2465.745470833333,2560.1753489583334
2024,2020-2021-2022-2023,PLCO,240,153303.05001897787,391.53933393591234,317.455471875,7.418864238239574,4363.944450000001,4513.178561458333
2024,2020-2021-2022-2023,PN,240,20921.83618114167,144.64382524374025,118.54934791666666,6.541630065694609,1853.2997833333332,1946.5041270833333
2024,2020-2021-2022-2023,PS,240,71239.89188723073,266.9080213991905,214.9251895833333,4.90744460094816,4380.828041666667,4441.015972916667
2024,2020-2021-2022-2023,RECO,240,42.78156588515625,6.540761873448401,5.315232291666666,3.7408234368206545,141.05072083333332,142.78089479166664
2024,2020-2021-2022-2023,RTO,240,35717224.85947313,5976.388948141941,4676.919808333334,5.343492107172421,86612.002825,85279.51606875
2024,2020-2021-2022-2023,SMECO,240,3846.13683229323,62.01723012432295,50.97067916666666,14.111408564582565,378.3703125,395.4552020833334
2024,2020-2021-2022-2023,UGI,240,147.87632944244788,12.160441169729324,9.826807291666663,8.588302152129415,118.85779166666666,122.98554270833333
2024,2020-2021-2022-2023,VMEU,240,45.93840770104166,6.777787817646821,4.436258333333333,5.855524499475067,73.54015000000001,69.85426458333333
