load_area,feature,importance,importance_norm
BC,peak_hour_lag_7d,0.1140466183423996,0.11404661720059707
BC,peak_hour_lag_8d,0.013390844687819481,0.013390844553754127
BC,peak_hour_lag_9d,0.014190757647156715,0.014190757505082858
BC,peak_hour_bf_lag_1yr,0.02009725011885166,0.02009724991764367
BC,peak_hour_bf_lag_2yr,0.017102401703596115,0.0171024015323717
BC,peak_hour_bf_lag_3yr,0.002044151071459055,0.002044151050993592
BC,peak_hour_bf_lag_4yr,0.001712676603347063,0.0017126765862002285
CE,day_of_week,0.0421699583530426,0.04216995976690068
CE,month,0.2879023551940918,0.2879023648467708
CE,day_of_month,0.01857241429388523,0.018572414916573965
CE,is_blackfriday,0.0,0.0
CE,is_thanksgiving,0.02474256418645382,0.024742565016012956
CE,days_from_bf,0.10920896381139755,0.10920896747291352
CE,peak_hour_lag_2d,0.042421355843544006,0.04242135726583084
CE,peak_hour_lag_3d,0.03679729625582695,0.03679729748955249
CE,peak_hour_lag_4d,0.02811596170067787,0.028115962643338977
CE,peak_hour_lag_5d,0.03672679886221886,0.036726800093580786
CE,peak_hour_lag_6d,0.063233382999897,0.06323338511996145
CE,peak_hour_lag_7d,0.15297871828079224,0.15297872340980362
CE,peak_hour_lag_8d,0.03560224547982216,0.0356022466734805
CE,peak_hour_lag_9d,0.02801908552646637,0.028019086465879448
CE,peak_hour_bf_lag_1yr,0.026560897007584572,0.02656089789810807
CE,peak_hour_bf_lag_2yr,0.021043231710791588,0.021043232416320935
CE,peak_hour_bf_lag_3yr,0.019722793251276016,0.01972279391253421
CE,peak_hour_bf_lag_4yr,0.026181943714618683,0.02618194459243678
DAY,day_of_week,0.09652243554592133,0.09652243356826386
DAY,month,0.1753906011581421,0.1753905975645472
DAY,day_of_month,0.026102324947714806,0.026102324412901758
DAY,is_blackfriday,0.0,0.0
DAY,is_thanksgiving,0.0,0.0
DAY,days_from_bf,0.12775638699531555,0.12775638437770265
DAY,peak_hour_lag_2d,0.07160399854183197,0.07160399707473075
DAY,peak_hour_lag_3d,0.0470145121216774,0.04701451115839254
DAY,peak_hour_lag_4d,0.029699213802814484,0.029699213194304436
DAY,peak_hour_lag_5d,0.036213718354701996,0.036213717612715635
DAY,peak_hour_lag_6d,0.03819650039076805,0.03819649960815628
DAY,peak_hour_lag_7d,0.11304239183664322,0.11304238952050677
DAY,peak_hour_lag_8d,0.04495769739151001,0.044957696470367424
DAY,peak_hour_lag_9d,0.027812259271740913,0.027812258701892856
DAY,peak_hour_bf_lag_1yr,0.0450836643576622,0.045083663433938666
DAY,peak_hour_bf_lag_2yr,0.030379606410861015,0.030379605788410338
DAY,peak_hour_bf_lag_3yr,0.04744948074221611,0.047449479770019135
DAY,peak_hour_bf_lag_4yr,0.0427752286195755,0.04277522774314973
DEOK,day_of_week,0.07905669510364532,0.07905669451462705
DEOK,month,0.23203814029693604,0.23203813856811717
DEOK,day_of_month,0.023844119161367416,0.023844118983714885
DEOK,is_blackfriday,0.0,0.0
DEOK,is_thanksgiving,0.0,0.0
DEOK,days_from_bf,0.13938267529010773,0.13938267425162587
